Team,Wild Card,Divisional,Champtionship,Super Bowl,Total,Players Remaining
Abe,0.0,0.0,0.0,0.0,0,2
Gins,0.0,0.0,0.0,0.0,0,6
Jo,0.0,0.0,0.0,0.0,0,8
Ethan,0.0,0.0,0.0,0.0,0,2
Crum,0.0,0.0,0.0,0.0,0,3
Scott,0.0,0.0,0.0,0.0,0,4
Blake,0.0,0.0,0.0,0.0,0,1
Dave,0.0,0.0,0.0,0.0,0,8
